city,numbeo_city
amsterdam,"Amsterdam, Netherlands"
antwerp,"Antwerp, Belgium"
athens,"Athens, Greece"
austin,"Austin, TX, United States"
bangkok,"Bangkok, Thailand"
barcelona,"Barcelona, Spain"
bergamo,"Bergamo, Italy"
berlin,"Berlin, Germany"
bogota,"Bogota, Colombia"
bologna,"Bologna, Italy"
bordeaux,"Bordeaux, France"
boston,"Boston, MA, United States"
brisbane,"Brisbane, Australia"
bristol,"Bristol, United Kingdom"
brussels,"Brussels, Belgium"
budapest,"Budapest, Hungary"
buenos-aires,"Buenos Aires, Argentina"
cape-town,"Cape Town, South Africa"
chicago,"Chicago, IL, United States"
columbus,"Columbus, OH, United States"
copenhagen,"Copenhagen, Denmark"
dallas,"Dallas, TX, United States"
denver,"Denver, CO, United States"
dublin,"Dublin, Ireland"
edinburgh,"Edinburgh, United Kingdom"
florence,"Florence, Italy"
broward-county,"Fort Lauderdale, FL, United States"
fort-worth,"Fort Worth, TX, United States"
ghent,"Gent, Belgium"
hong-kong,"Hong Kong, Hong Kong (China)"
istanbul,"Istanbul, Turkey"
jersey-city,"Jersey City, NJ, United States"
clark-county-nv,"Las Vegas, NV, United States"
lisbon,"Lisbon, Portugal"
london,"London, United Kingdom"
los-angeles,"Los Angeles, CA, United States"
lyon,"Lyon, France"
madrid,"Madrid, Spain"
malaga,"Malaga, Spain"
greater-manchester,"Manchester, United Kingdom"
melbourne,"Melbourne, Australia"
mexico-city,"Mexico City, Mexico"
milan,"Milan, Italy"
twin-cities-msa,"Minneapolis, MN, United States"
montreal,"Montreal, Canada"
munich,"Munich, Germany"
nairobi,"Nairobi, Kenya"
naples,"Naples, Italy"
nashville,"Nashville, TN, United States"
new-orleans,"New Orleans, LA, United States"
new-york-city,"New York, NY, United States"
oakland,"Oakland, CA, United States"
oslo,"Oslo, Norway"
ottawa,"Ottawa, Canada"
paris,"Paris, France"
portland,"Portland, OR, United States"
porto,"Porto, Portugal"
prague,"Prague, Czech Republic"
quebec-city,"Quebec City, Canada"
riga,"Riga, Latvia"
rio-de-janeiro,"Rio de Janeiro, Brazil"
rochester,"Rochester, NY, United States"
rome,"Rome, Italy"
rotterdam,"Rotterdam, Netherlands"
san-diego,"San Diego, CA, United States"
san-francisco,"San Francisco, CA, United States"
santa-clara-county,"San Jose, CA, United States"
santiago,"Santiago, Chile"
sao-paulo,"Sao Paulo, Brazil"
seattle,"Seattle, WA, United States"
sevilla,"Seville (Sevilla), Spain"
stockholm,"Stockholm, Sweden"
sydney,"Sydney, Australia"
taipei,"Taipei, Taiwan"
the-hague,"The Hague (Den Haag), Netherlands"
thessaloniki,"Thessaloniki, Greece"
tokyo,"Tokyo, Japan"
toronto,"Toronto, Canada"
valencia,"Valencia, Spain"
vancouver,"Vancouver, Canada"
victoria,"Victoria, Canada"
vienna,"Vienna, Austria"
washington-dc,"Washington, DC, United States"
winnipeg,"Winnipeg, Canada"
